Codigo;PO;Observac_PO;Columna_D
B&P-041-5206-2RST;1077;;18/02/2026
B&P-048-207-KRRB17;164;1282;18/02/2026
B&P-037-BP-25006-02;1072;;18/02/2026
B&P-037-BP-25006-I;1072;;18/02/2026
B&P-037-BP-25006-D;1072;;18/02/2026
B&P-033-ASA-80-1H;165;01;18/02/2026
B&P-033-CA-550-A1;165;01;18/02/2026
B&P-033-PIN-ASA180-1;165;02;18/02/2026
B&P-033-ASA180-1H-PT;165;02;18/02/2026
B&P-047-SAB-209-45DG;1053;;18/02/2026
BPB-040-MG-5306-KRR3;1083;;18/02/2026
B&P-040-5205-2RST;1091;;18/02/2026
BPB-056-ENG307516CHS;1303;;18/02/2026
BPB-056-DS3075C25CHS;1303;;18/02/2026
BPB-055-GU-2565;1304;;18/02/2026
BPB-056-DS3075C25CHS;173;1303;18/02/2026
